slice,x,y,dc60
0,1.8947368421052628,-1.9473684210526316,
0,2.3157894736842106,-1.9473684210526316,
0,2.7368421052631575,-1.9473684210526316,
0,3.1578947368421044,-1.9473684210526316,
0,3.578947368421052,-1.9473684210526316,
0,4.0,-1.9473684210526316,
0,-4.0,-1.736842105263158,
0,-3.5789473684210527,-1.736842105263158,
0,-3.1578947368421053,-1.736842105263158,
0,-2.736842105263158,-1.736842105263158,
0,-2.3157894736842106,-1.736842105263158,
0,-1.8947368421052633,-1.736842105263158,
0,-1.473684210526316,-1.736842105263158,
0,-1.0526315789473686,-1.736842105263158,
0,-0.6315789473684212,-1.736842105263158,
0,-0.2105263157894739,-1.736842105263158,
0,0.21052631578947345,-1.736842105263158,
0,0.6315789473684212,-1.736842105263158,
0,1.0526315789473681,-1.736842105263158,
0,1.473684210526315,-1.736842105263158,
0,1.8947368421052628,-1.736842105263158,
0,2.3157894736842106,-1.736842105263158,
0,2.7368421052631575,-1.736842105263158,
0,3.1578947368421044,-1.736842105263158,
0,3.578947368421052,-1.736842105263158,
0,4.0,-1.736842105263158,
0,-4.0,-1.5263157894736843,
0,-3.5789473684210527,-1.5263157894736843,
0,-3.1578947368421053,-1.5263157894736843,
0,-2.736842105263158,-1.5263157894736843,
0,-2.3157894736842106,-1.5263157894736843,
0,-1.8947368421052633,-1.5263157894736843,
0,-1.473684210526316,-1.5263157894736843,
0,-1.0526315789473686,-1.5263157894736843,
0,-0.6315789473684212,-1.5263157894736843,
0,-0.2105263157894739,-1.5263157894736843,
0,0.21052631578947345,-1.5263157894736843,
0,0.6315789473684212,-1.5263157894736843,
0,1.0526315789473681,-1.5263157894736843,
0,1.473684210526315,-1.5263157894736843,
0,1.8947368421052628,-1.5263157894736843,
0,2.3157894736842106,-1.5263157894736843,
0,2.7368421052631575,-1.5263157894736843,
0,3.1578947368421044,-1.5263157894736843,
0,3.578947368421052,-1.5263157894736843,
0,4.0,-1.5263157894736843,
0,-4.0,-1.3157894736842106,
0,-3.5789473684210527,-1.3157894736842106,
0,-3.1578947368421053,-1.3157894736842106,
0,-2.736842105263158,-1.3157894736842106,
0,-2.3157894736842106,-1.3157894736842106,
0,-1.8947368421052633,-1.3157894736842106,
0,-1.473684210526316,-1.3157894736842106,
0,-1.0526315789473686,-1.3157894736842106,
0,-0.6315789473684212,-1.3157894736842106,
0,-0.2105263157894739,-1.3157894736842106,
0,0.21052631578947345,-1.3157894736842106,
0,0.6315789473684212,-1.3157894736842106,
0,1.0526315789473681,-1.3157894736842106,
0,1.473684210526315,-1.3157894736842106,
0,1.8947368421052628,-1.3157894736842106,
0,2.3157894736842106,-1.3157894736842106,
0,2.7368421052631575,-1.3157894736842106,
0,3.1578947368421044,-1.3157894736842106,
0,3.578947368421052,-1.3157894736842106,
0,4.0,-1.3157894736842106,
0,-4.0,-1.105263157894737,
0,-3.5789473684210527,-1.105263157894737,
0,-3.1578947368421053,-1.105263157894737,
0,-2.736842105263158,-1.105263157894737,
0,-2.3157894736842106,-1.105263157894737,
0,-1.8947368421052633,-1.105263157894737,
0,-1.473684210526316,-1.105263157894737,
0,-1.0526315789473686,-1.105263157894737,
0,-0.6315789473684212,-1.105263157894737,
0,-0.2105263157894739,-1.105263157894737,
0,0.21052631578947345,-1.105263157894737,
0,0.6315789473684212,-1.105263157894737,
0,1.0526315789473681,-1.105263157894737,
0,1.473684210526315,-1.105263157894737,
0,1.8947368421052628,-1.105263157894737,
0,2.3157894736842106,-1.105263157894737,
0,2.7368421052631575,-1.105263157894737,
0,3.1578947368421044,-1.105263157894737,
0,3.578947368421052,-1.105263157894737,
0,4.0,-1.105263157894737,
0,-4.0,-0.8947368421052633,
0,-3.5789473684210527,-0.8947368421052633,
0,-3.1578947368421053,-0.8947368421052633,
0,-2.736842105263158,-0.8947368421052633,
0,-2.3157894736842106,-0.8947368421052633,
0,-1.8947368421052633,-0.8947368421052633,
